RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,65,174.0,9,71,22,0,0,74,4.0,6,6,45,1,39,12.0,0,0,28.0,99.0,7.0,6.0,1.0,76.0
Bad,60,155.0,15,53,16,1,1,81,5.0,6,6,16,0,44,5.0,0,0,79.0,,5.0,1.0,2.0,86.0
Bad,56,68.0,4,25,22,0,0,91,31.0,7,6,22,8,27,0.0,2,2,81.0,91.0,9.0,3.0,3.0,71.0
Bad,67,427.0,17,105,35,0,0,94,4.0,6,6,37,0,51,17.0,0,0,45.0,47.0,5.0,6.0,2.0,85.0
Bad,57,180.0,6,91,10,1,0,47,2.0,6,5,16,1,31,36.0,0,0,91.0,29.0,4.0,1.0,2.0,86.0
Good,87,216.0,8,87,16,0,0,100,125.0,7,7,16,1,19,2.0,1,1,2.0,,1.0,2.0,0.0,25.0
Good,82,153.0,5,46,4,0,0,100,125.0,7,7,4,2,50,0.0,0,0,16.0,,1.0,1.0,0.0,100.0
Good,81,204.0,7,64,13,0,0,93,59.0,7,6,14,3,14,5.0,0,0,11.0,,2.0,1.0,0.0,67.0
Good,62,21.0,12,17,4,0,0,100,125.0,7,7,4,0,50,0.0,4,3,120.0,83.0,1.0,2.0,1.0,75.0
Bad,70,88.0,7,42,14,1,1,93,25.0,7,2,16,2,67,36.0,2,2,38.0,63.0,2.0,5.0,0.5,88.0
Good,68,184.0,2,69,7,0,0,58,1.0,6,6,12,2,67,6.0,0,0,4.0,57.0,2.0,5.0,0.0,78.0
Bad,73,215.0,7,88,38,1,1,92,23.0,7,6,40,1,38,19.0,0,0,1.0,78.0,4.0,2.0,1.0,50.0
Bad,73,28.0,4,18,4,0,0,100,125.0,7,7,4,1,50,0.0,5,5,41.0,81.0,2.0,2.0,0.0,100.0
Bad,56,136.0,3,8,11,0,0,100,125.0,7,7,29,9,18,0.0,13,13,27.0,90.0,5.0,2.0,0.0,64.0
Good,91,325.0,34,117,13,0,0,100,125.0,7,7,13,0,8,24.0,0,0,3.0,,2.0,2.0,0.0,25.0
Bad,68,161.0,8,50,4,0,0,100,125.0,7,7,4,1,0,0.0,0,0,87.0,,4.0,2.0,3.0,100.0
Bad,61,281.0,9,107,22,2,0,79,2.0,6,5,24,4,42,6.0,0,0,86.0,91.0,3.0,3.0,2.0,78.0
Good,88,292.0,14,105,20,0,0,100,125.0,7,7,20,0,50,0.0,2,2,11.0,83.0,2.0,2.0,0.0,50.0
Bad,66,81.0,4,35,10,0,0,100,125.0,7,7,10,3,60,0.0,1,1,79.0,94.0,4.0,2.0,2.0,100.0
Bad,62,192.0,5,38,22,0,0,100,125.0,7,7,22,2,9,0.0,3,3,65.0,,15.0,2.0,7.0,79.0
Good,81,158.0,4,87,34,0,0,100,125.0,7,7,36,6,31,36.0,5,5,19.0,93.0,7.0,3.0,0.0,63.0
Good,77,287.0,3,109,10,2,2,83,32.0,7,3,12,3,17,0.0,2,2,33.0,,2.0,1.0,1.0,43.0
Bad,58,315.0,10,78,10,0,0,64,3.0,6,6,15,1,64,2.0,3,3,78.0,77.0,2.0,2.0,1.0,100.0
Bad,64,212.0,2,61,33,1,0,87,11.0,6,5,39,7,49,36.0,10,10,0.0,100.0,1.0,5.0,0.0,50.0
Good,80,141.0,9,57,33,0,0,100,125.0,7,7,33,2,24,8.0,0,0,6.0,,1.0,1.0,1.0,43.0
Bad,66,145.0,8,81,13,1,1,71,15.0,7,2,14,1,36,0.0,1,0,0.0,64.0,0.0,3.0,0.5,60.0
Bad,70,233.0,6,69,31,0,0,97,6.0,6,6,33,1,33,0.0,0,0,35.0,68.0,6.0,3.0,1.0,59.0
Bad,64,178.0,8,108,33,0,0,85,1.0,6,6,33,2,36,0.0,4,4,48.0,78.0,5.0,3.0,3.0,62.0
Bad,69,124.0,5,51,29,0,0,100,125.0,7,7,29,4,21,36.0,1,1,51.0,76.0,7.0,3.0,1.0,77.0
Bad,73,201.0,16,108,13,0,0,93,12.0,7,6,14,0,21,0.0,0,0,47.0,77.0,6.0,2.0,1.0,89.0
Bad,58,264.0,13,78,24,0,0,92,1.0,6,6,25,0,28,0.0,5,4,70.0,23.0,13.0,2.0,5.0,94.0
Bad,61,395.0,30,103,8,0,0,73,2.0,6,6,11,0,18,0.0,0,0,79.0,,5.0,2.0,2.0,100.0
Good,69,312.0,15,94,27,1,0,82,11.0,6,5,30,0,18,15.0,0,0,54.0,62.0,2.0,2.0,1.0,56.0
Bad,71,60.0,9,29,12,1,1,92,44.0,7,6,12,2,75,0.0,2,1,0.0,59.0,0.0,2.0,0.5,75.0
Bad,72,98.0,16,49,11,0,0,91,16.0,7,6,11,0,36,4.0,4,4,56.0,79.0,1.0,1.0,0.0,67.0
Bad,58,263.0,16,88,21,2,0,69,1.0,6,5,55,0,19,2.0,1,1,20.0,51.0,6.0,1.0,1.0,57.0
Bad,62,199.0,2,65,18,0,0,85,22.0,7,6,20,3,40,36.0,5,5,58.0,82.0,4.0,3.0,1.0,88.0
Bad,61,118.0,19,63,26,1,0,78,14.0,7,5,27,0,41,0.0,3,3,65.0,67.0,3.0,4.0,1.0,88.0
Bad,69,78.0,5,40,16,0,0,100,125.0,7,7,16,1,25,0.0,2,2,69.0,,3.0,2.0,2.0,83.0
Good,87,283.0,8,108,21,0,0,100,125.0,7,7,22,2,9,0.0,0,0,18.0,,4.0,2.0,0.0,33.0
Bad,74,139.0,1,61,27,0,0,93,29.0,7,6,28,4,25,0.0,1,1,19.0,21.0,2.0,3.0,1.0,42.0
Good,80,162.0,9,82,22,0,0,100,125.0,7,7,24,1,58,0.0,0,0,79.0,45.0,2.0,2.0,0.5,80.0
Good,63,99.0,2,44,45,0,0,98,125.0,7,7,48,6,48,36.0,2,2,91.0,92.0,7.0,10.0,3.0,94.0
Bad,88,209.0,19,71,5,0,0,100,125.0,7,7,5,0,40,0.0,0,0,0.0,72.0,0.0,1.0,0.5,50.0
Good,82,429.0,10,115,30,0,0,97,19.0,7,6,30,1,13,11.0,0,0,10.0,51.0,11.0,2.0,0.0,65.0
Good,80,156.0,13,78,19,0,0,95,46.0,7,6,19,0,11,0.0,1,1,9.0,,3.0,1.0,1.0,29.0
Good,75,163.0,8,79,44,0,0,98,63.0,7,6,46,2,35,0.0,0,0,24.0,96.0,4.0,3.0,0.0,47.0
Good,72,198.0,10,50,10,1,1,91,64.0,7,2,11,1,18,2.0,3,3,47.0,,3.0,1.0,0.0,100.0
Bad,70,261.0,2,63,19,0,0,100,125.0,7,7,21,1,25,36.0,1,1,60.0,62.0,5.0,3.0,3.0,73.0
Good,69,252.0,3,90,44,1,0,91,7.0,6,5,46,4,20,4.0,1,1,23.0,100.0,11.0,2.0,1.0,78.0
Good,70,132.0,2,64,20,1,1,92,6.0,6,6,26,4,4,0.0,1,1,1.0,,1.0,2.0,0.0,13.0
Good,73,103.0,20,70,6,0,0,71,48.0,7,6,7,0,29,36.0,0,0,34.0,,1.0,2.0,0.0,100.0
Bad,56,133.0,2,64,15,0,0,88,3.0,6,6,17,2,12,0.0,2,2,84.0,,10.0,1.0,4.0,92.0
Bad,56,140.0,9,69,16,1,1,94,1.0,6,6,18,1,47,0.0,0,0,66.0,66.0,3.0,2.0,2.0,71.0
Bad,76,194.0,19,132,15,1,1,94,30.0,7,2,16,0,31,0.0,4,4,0.0,47.0,1.0,2.0,0.0,45.0
Good,86,216.0,9,125,18,0,0,94,27.0,7,6,18,1,33,16.0,0,0,0.0,70.0,0.0,3.0,0.0,43.0
Good,86,186.0,0,102,12,0,0,100,125.0,7,7,14,1,50,0.0,0,0,37.0,,3.0,1.0,0.0,80.0
Bad,75,212.0,6,52,16,1,0,88,20.0,7,5,24,2,53,36.0,2,2,16.0,44.0,2.0,2.0,0.5,44.0
Good,80,228.0,2,61,46,0,0,100,125.0,7,7,49,7,29,0.0,1,1,9.0,,5.0,2.0,0.0,57.0
Good,81,202.0,5,106,37,0,0,95,40.0,7,6,44,1,46,1.0,1,1,0.0,92.0,2.0,2.0,0.0,36.0
Bad,61,255.0,15,125,17,3,2,71,12.0,7,2,22,0,32,36.0,0,0,96.0,97.0,3.0,3.0,1.0,100.0
Good,72,180.0,13,118,19,0,0,100,125.0,7,7,20,0,35,36.0,7,7,50.0,,5.0,2.0,1.0,100.0
Good,75,356.0,15,122,20,1,0,82,8.0,7,5,22,0,18,18.0,0,0,23.0,,5.0,1.0,0.0,60.0
Good,63,307.0,2,85,35,0,0,95,22.0,7,6,38,3,24,0.0,3,3,38.0,,5.0,1.0,2.0,50.0
Good,83,180.0,5,53,25,0,0,100,125.0,7,7,26,2,4,36.0,1,1,18.0,,5.0,1.0,0.0,55.0
Good,77,177.0,12,75,7,1,1,89,19.0,7,6,9,0,22,36.0,2,2,1.0,,1.0,2.0,0.0,25.0
Good,85,251.0,5,80,45,0,0,98,43.0,7,6,48,3,17,0.0,1,1,3.0,,2.0,1.0,0.0,20.0
Bad,55,85.0,19,59,6,4,3,33,7.0,2,2,9,0,44,19.0,0,0,29.0,,2.0,1.0,0.0,75.0
Good,79,116.0,2,38,14,0,0,100,125.0,7,7,16,3,13,2.0,1,1,7.0,100.0,2.0,2.0,0.0,44.0
Bad,65,88.0,9,45,20,0,0,85,1.0,6,6,20,1,20,0.0,0,0,14.0,71.0,4.0,2.0,1.0,50.0
Bad,74,271.0,10,76,22,0,0,100,125.0,7,7,24,1,46,0.0,0,0,70.0,43.0,8.0,4.0,3.0,100.0
Bad,57,173.0,3,48,25,1,1,96,1.0,4,4,26,4,23,0.0,2,2,4.0,36.0,5.0,4.0,0.0,60.0
Bad,57,154.0,6,68,24,2,1,71,8.0,6,4,28,3,14,0.0,1,1,38.0,30.0,6.0,1.0,0.0,42.0
Good,61,171.0,8,78,40,0,0,93,7.0,6,6,42,1,24,0.0,0,0,49.0,68.0,7.0,3.0,2.0,67.0
Bad,60,178.0,5,53,23,0,0,75,10.0,6,6,24,6,29,4.0,2,2,35.0,75.0,3.0,3.0,1.0,55.0
Bad,77,301.0,4,149,13,0,0,92,9.0,6,6,42,2,31,36.0,0,0,20.0,89.0,6.0,2.0,1.0,80.0
Bad,61,162.0,5,63,24,7,2,75,11.0,6,2,32,1,44,0.0,4,4,46.0,85.0,1.0,2.0,0.0,43.0
Bad,59,326.0,7,72,21,0,0,81,4.0,6,6,21,2,52,0.0,2,2,23.0,,5.0,1.0,1.0,67.0
Good,80,184.0,8,127,19,0,0,100,125.0,7,7,20,1,50,20.0,0,0,44.0,36.0,2.0,2.0,1.0,80.0
Bad,71,367.0,7,145,38,0,0,95,59.0,7,6,41,1,29,1.0,4,4,21.0,97.0,13.0,2.0,1.0,73.0
Bad,78,82.0,5,54,33,0,0,100,125.0,7,7,41,2,15,36.0,3,3,21.0,11.0,9.0,3.0,2.0,50.0
Good,81,156.0,1,77,31,0,0,100,125.0,7,7,37,2,39,0.0,4,4,13.0,,1.0,2.0,0.0,33.0
Good,69,222.0,12,103,31,1,0,94,79.0,7,5,33,0,33,6.0,1,0,32.0,68.0,13.0,3.0,2.0,84.0
Good,85,326.0,4,120,21,0,0,100,125.0,7,7,44,1,26,4.0,3,3,5.0,39.0,2.0,2.0,0.0,31.0
Bad,56,305.0,4,97,8,2,1,73,1.0,6,4,11,1,36,0.0,5,5,15.0,96.0,5.0,4.0,1.0,100.0
Bad,72,26.0,2,13,12,0,0,100,125.0,7,7,14,6,43,2.0,3,2,20.0,89.0,3.0,5.0,0.0,62.0
Bad,65,243.0,2,77,26,1,0,90,7.0,6,5,30,3,57,0.0,6,6,72.0,100.0,2.0,4.0,0.5,86.0
Bad,70,127.0,5,53,26,0,0,100,125.0,7,7,26,2,50,0.0,0,0,59.0,65.0,4.0,4.0,3.0,67.0
Good,81,162.0,23,89,26,0,0,100,125.0,7,7,26,0,31,3.0,1,1,11.0,58.0,1.0,2.0,0.0,33.0
Good,86,158.0,3,71,29,0,0,100,125.0,7,7,31,6,52,3.0,1,1,3.0,93.0,1.0,2.0,0.0,43.0
Good,87,270.0,26,83,28,0,0,100,125.0,7,7,28,0,25,0.0,0,0,0.0,,1.0,2.0,0.0,10.0
Good,69,256.0,4,69,57,1,1,95,31.0,7,3,63,4,44,0.0,5,5,58.0,82.0,14.0,9.0,5.0,77.0
Bad,70,139.0,17,58,19,0,0,100,125.0,7,7,19,0,37,1.0,4,4,63.0,76.0,3.0,3.0,1.0,86.0
Bad,88,419.0,11,101,21,0,0,100,125.0,7,7,21,1,33,0.0,0,0,0.0,,0.0,1.0,0.0,25.0
Good,78,368.0,26,132,28,0,0,96,47.0,7,6,38,0,29,2.0,2,2,15.0,,1.0,2.0,0.0,30.0
Bad,64,142.0,1,34,12,2,2,85,35.0,7,2,21,6,33,0.0,2,2,24.0,67.0,5.0,3.0,0.0,67.0
Good,87,152.0,17,83,21,0,0,100,125.0,7,7,21,0,62,16.0,0,0,4.0,78.0,2.0,2.0,0.0,67.0
Bad,66,180.0,7,63,23,0,0,96,31.0,7,6,25,3,24,36.0,0,0,73.0,47.0,8.0,3.0,4.0,85.0
Good,73,229.0,4,56,32,0,0,100,125.0,7,7,33,5,63,5.0,1,1,18.0,69.0,3.0,12.0,1.0,83.0
Bad,62,88.0,1,35,20,0,0,95,63.0,7,6,22,7,50,0.0,4,3,30.0,70.0,6.0,5.0,0.0,92.0
Bad,69,306.0,8,48,21,0,0,91,18.0,7,6,37,1,27,36.0,1,1,38.0,77.0,5.0,3.0,2.0,50.0
Good,83,228.0,2,95,46,0,0,100,125.0,7,7,51,3,33,1.0,1,1,26.0,100.0,2.0,1.0,1.0,27.0
Good,72,214.0,6,88,34,0,0,97,78.0,7,6,35,1,46,36.0,3,3,59.0,31.0,5.0,4.0,2.0,90.0
Bad,54,424.0,0,147,7,4,2,73,19.0,7,2,12,3,27,0.0,4,4,61.0,91.0,6.0,2.0,1.0,89.0
Good,89,135.0,19,80,30,0,0,100,125.0,7,7,30,0,17,0.0,0,0,0.0,,1.0,1.0,0.0,22.0
Bad,75,169.0,6,86,20,0,0,95,63.0,7,6,41,2,57,6.0,0,0,57.0,71.0,3.0,2.0,2.0,83.0
Bad,61,83.0,2,40,22,0,0,96,1.0,6,6,23,4,26,3.0,1,1,50.0,,7.0,2.0,1.0,69.0
Bad,67,180.0,4,15,12,0,0,100,125.0,7,7,13,6,23,36.0,4,4,28.0,95.0,7.0,2.0,1.0,90.0
Good,71,235.0,4,71,32,1,1,94,83.0,7,2,33,6,27,0.0,0,0,49.0,92.0,9.0,3.0,1.0,80.0
Bad,80,164.0,25,104,20,0,0,100,125.0,7,7,21,0,5,6.0,0,0,55.0,,4.0,1.0,0.0,50.0
Good,80,139.0,1,40,12,0,0,100,125.0,7,7,14,4,36,2.0,5,5,19.0,97.0,5.0,2.0,0.0,88.0
Bad,54,225.0,0,79,44,3,2,75,3.0,5,2,63,6,25,1.0,5,5,18.0,77.0,10.0,4.0,0.0,80.0
Good,83,181.0,2,150,5,0,0,100,125.0,7,7,10,1,17,36.0,1,1,30.0,99.0,1.0,1.0,0.5,100.0
Bad,67,97.0,2,46,8,0,0,100,125.0,7,7,9,1,33,0.0,1,1,66.0,48.0,5.0,2.0,1.0,88.0
Bad,74,247.0,9,107,46,0,0,100,125.0,7,7,47,2,38,0.0,1,1,38.0,88.0,11.0,1.0,2.0,87.0
Good,76,219.0,26,75,17,0,0,100,125.0,7,7,17,0,35,11.0,1,0,59.0,32.0,3.0,2.0,2.0,71.0
Bad,66,340.0,11,117,36,0,0,100,125.0,7,7,36,1,11,0.0,0,0,81.0,,20.0,1.0,11.0,75.0
Good,77,92.0,5,44,15,0,0,100,125.0,7,7,15,3,40,2.0,3,3,40.0,53.0,2.0,4.0,0.0,67.0
Bad,82,147.0,6,35,6,0,0,100,125.0,7,7,6,2,50,0.0,0,0,16.0,73.0,1.0,2.0,0.0,75.0
Bad,63,154.0,20,85,21,2,2,92,7.0,6,6,25,0,21,1.0,3,3,92.0,,3.0,1.0,1.0,100.0
Good,82,182.0,6,106,10,0,0,100,125.0,7,7,10,1,30,0.0,0,0,65.0,,2.0,2.0,0.0,80.0
Good,72,113.0,13,62,37,0,0,100,125.0,7,7,37,0,24,1.0,2,2,46.0,78.0,10.0,5.0,4.0,71.0
Good,65,256.0,40,190,23,1,1,85,5.0,6,4,27,0,52,5.0,0,0,75.0,27.0,4.0,3.0,1.0,88.0
Bad,66,160.0,3,71,17,0,0,83,15.0,7,6,18,1,44,0.0,1,1,32.0,70.0,3.0,3.0,1.0,86.0
Bad,79,41.0,1,15,6,0,0,100,125.0,7,7,8,2,25,0.0,2,2,1.0,64.0,1.0,2.0,0.0,38.0
Bad,62,185.0,8,83,58,2,2,92,30.0,7,2,60,4,73,0.0,0,0,109.0,79.0,9.0,8.0,4.0,100.0
Good,79,306.0,2,89,19,0,0,95,15.0,7,6,21,2,24,1.0,1,1,12.0,,5.0,1.0,0.0,60.0
Bad,70,310.0,2,58,16,0,0,100,125.0,7,7,17,5,12,0.0,4,4,62.0,,6.0,1.0,2.0,88.0
Bad,83,122.0,13,35,11,0,0,100,125.0,7,7,11,0,36,0.0,0,0,2.0,,2.0,1.0,0.0,50.0
Bad,72,177.0,21,75,15,1,0,94,13.0,7,5,16,0,38,0.0,0,0,30.0,,5.0,1.0,1.0,86.0
Good,82,235.0,24,123,30,0,0,100,125.0,7,7,32,0,38,36.0,0,0,36.0,,3.0,1.0,0.0,100.0
Bad,79,209.0,5,77,28,0,0,100,125.0,7,7,28,3,29,0.0,0,0,43.0,,4.0,2.0,2.0,55.0
Good,87,150.0,27,77,27,0,0,100,125.0,7,7,27,0,30,2.0,1,1,4.0,3.0,4.0,2.0,0.0,55.0
Bad,60,134.0,9,48,12,0,0,92,23.0,7,6,15,1,57,0.0,1,1,97.0,57.0,4.0,5.0,3.0,90.0
Good,89,118.0,5,56,9,0,0,100,125.0,7,7,9,1,22,6.0,0,0,0.0,,1.0,2.0,0.0,17.0
Bad,61,132.0,1,71,12,2,0,81,71.0,7,5,16,3,31,0.0,5,5,86.0,,7.0,1.0,3.0,80.0
Good,74,183.0,4,84,21,1,1,86,3.0,7,4,24,1,32,2.0,1,1,15.0,,2.0,2.0,0.0,25.0
Bad,64,128.0,16,75,18,1,1,95,39.0,7,6,20,0,16,0.0,0,0,46.0,,7.0,2.0,1.0,88.0
Bad,54,206.0,7,75,8,1,0,64,6.0,6,5,11,1,64,0.0,0,0,92.0,,2.0,1.0,0.5,75.0
Bad,64,323.0,7,106,21,5,4,77,11.0,2,5,23,2,9,14.0,0,0,27.0,71.0,5.0,2.0,1.0,50.0
Good,74,390.0,1,98,37,0,0,100,125.0,7,7,38,5,24,0.0,4,3,22.0,64.0,4.0,1.0,1.0,33.0
Bad,75,129.0,1,48,22,0,0,100,125.0,7,7,23,5,61,9.0,0,0,46.0,95.0,2.0,6.0,0.0,80.0
Bad,62,433.0,1,79,31,3,3,92,24.0,7,2,39,7,85,0.0,2,2,13.0,97.0,1.0,4.0,0.5,100.0
Bad,84,130.0,11,61,14,0,0,100,125.0,7,7,14,2,43,0.0,1,1,0.0,61.0,2.0,2.0,0.0,67.0
Good,82,197.0,75,173,12,1,0,93,48.0,7,5,14,0,7,36.0,1,1,1.0,,6.0,2.0,0.0,67.0
Bad,55,110.0,20,63,9,2,0,62,11.0,6,5,13,0,46,0.0,1,1,92.0,89.0,3.0,2.0,1.0,100.0
Good,71,314.0,9,116,63,1,1,84,4.0,6,3,64,2,9,0.0,2,2,5.0,91.0,7.0,2.0,0.0,37.0
Good,67,220.0,7,61,30,0,0,97,32.0,7,6,30,5,53,1.0,4,4,50.0,70.0,6.0,9.0,2.0,88.0
Bad,67,250.0,6,103,26,0,0,88,1.0,6,6,26,1,35,0.0,0,0,79.0,60.0,4.0,2.0,2.0,75.0
Bad,58,334.0,4,99,34,0,0,68,13.0,7,6,37,2,54,2.0,4,4,68.0,32.0,3.0,4.0,1.0,58.0
Good,81,255.0,1,75,28,0,0,100,125.0,7,7,30,2,27,0.0,1,1,17.0,67.0,5.0,2.0,0.0,44.0
Good,75,422.0,1,91,55,0,0,100,125.0,7,7,57,4,33,0.0,4,4,2.0,11.0,12.0,2.0,1.0,57.0
Bad,54,184.0,3,101,42,0,0,88,4.0,6,6,43,4,51,0.0,1,1,64.0,83.0,8.0,3.0,3.0,93.0
Good,73,134.0,11,54,23,0,0,100,125.0,7,7,24,1,46,2.0,1,1,47.0,58.0,4.0,4.0,1.0,67.0
Good,79,138.0,4,56,26,0,0,100,125.0,7,7,27,3,19,36.0,0,0,12.0,,4.0,2.0,0.0,70.0
Bad,65,187.0,6,86,31,0,0,94,17.0,7,6,32,1,34,0.0,1,1,58.0,77.0,10.0,4.0,4.0,93.0
Bad,77,199.0,2,60,24,0,0,100,125.0,7,7,29,3,21,0.0,0,0,66.0,41.0,5.0,3.0,2.0,67.0
Good,84,196.0,10,82,12,0,0,100,125.0,7,7,25,1,17,0.0,2,2,29.0,54.0,5.0,2.0,0.0,64.0
Good,65,338.0,7,55,24,0,0,83,9.0,6,6,24,2,33,0.0,2,2,13.0,78.0,2.0,2.0,0.0,31.0
Bad,76,293.0,4,74,33,0,0,100,125.0,7,7,34,1,38,0.0,2,2,37.0,,13.0,1.0,0.0,88.0
Good,83,202.0,10,98,22,3,1,88,34.0,7,4,25,2,24,1.0,1,1,6.0,83.0,4.0,2.0,0.0,50.0
Good,88,448.0,6,156,23,0,0,100,125.0,7,7,29,1,22,0.0,0,0,6.0,4.0,5.0,2.0,0.0,50.0
Bad,73,181.0,8,71,25,0,0,100,125.0,7,7,25,4,56,0.0,0,0,45.0,76.0,6.0,6.0,1.0,86.0
Bad,81,178.0,2,52,13,0,0,100,125.0,7,7,15,1,33,0.0,3,3,7.0,75.0,3.0,1.0,0.0,57.0
Good,88,188.0,13,82,20,0,0,100,125.0,7,7,20,0,40,0.0,0,0,17.0,82.0,2.0,2.0,0.0,50.0
Bad,57,164.0,5,74,30,1,1,90,7.0,2,6,35,1,57,0.0,5,4,64.0,75.0,6.0,4.0,2.0,92.0
Bad,56,95.0,2,24,15,0,0,100,125.0,7,7,19,4,44,4.0,1,1,73.0,87.0,5.0,6.0,2.0,85.0
Bad,63,148.0,2,56,31,1,1,97,67.0,7,2,38,5,45,0.0,3,3,82.0,,9.0,2.0,6.0,92.0
Good,77,216.0,4,91,39,0,0,100,125.0,7,7,41,3,29,0.0,3,3,46.0,83.0,8.0,5.0,0.0,68.0
Good,74,107.0,4,59,22,1,1,96,71.0,7,2,23,1,17,3.0,1,1,23.0,26.0,2.0,2.0,1.0,44.0
Bad,68,144.0,2,41,19,0,0,100,125.0,7,7,21,4,24,0.0,1,1,63.0,78.0,10.0,3.0,3.0,93.0
Bad,86,70.0,9,39,10,0,0,100,125.0,7,7,10,1,10,0.0,0,0,0.0,,1.0,1.0,0.0,22.0
Bad,78,246.0,17,109,15,0,0,100,125.0,7,7,15,0,40,0.0,0,0,71.0,,2.0,1.0,2.0,43.0
Good,72,271.0,3,58,39,1,0,98,8.0,6,5,43,2,40,0.0,6,6,12.0,92.0,4.0,3.0,0.0,64.0
Bad,67,233.0,12,66,13,1,0,87,10.0,6,5,15,0,67,0.0,1,1,33.0,81.0,3.0,2.0,1.0,83.0
